#version: TeamCity
#If you change this file, it will not be automatically updated after the next release.
#item,id,metadata
trunkleaves,LEAVES,0
woodleaves,LEAVES,0
oakleaves,LEAVES,0
oakleaf,LEAVES,0
oleaves,LEAVES,0
oleaf,LEAVES,0
oaktreeleaves,LEAVES,0
oaklogleaves,LEAVES,0
oaktrunkleaves,LEAVES,0
oakwoodleaves,LEAVES,0
otreeleaves,LEAVES,0
ologleaves,LEAVES,0
otrunkleaves,LEAVES,0
owoodleaves,LEAVES,0
treeleaf,LEAVES,0
logleaf,LEAVES,0
trunkleaf,LEAVES,0
woodleaf,LEAVES,0
oaktreeleaf,LEAVES,0
oaklogleaf,LEAVES,0
oaktrunkleaf,LEAVES,0
oakwoodleaf,LEAVES,0
otreeleaf,LEAVES,0
ologleaf,LEAVES,0
otrunkleaf,LEAVES,0
owoodleaf,LEAVES,0
pineleaves,LEAVES,1
pineleaf,LEAVES,1
pleaves,LEAVES,1
pleaf,LEAVES,1
pinetreeleaves,LEAVES,1
pinelogleaves,LEAVES,1
pinetrunkleaves,LEAVES,1
pinewoodleaves,LEAVES,1
ptreeleaves,LEAVES,1
plogleaves,LEAVES,1
ptrunkleaves,LEAVES,1
pwoodleaves,LEAVES,1
spruceleaves,LEAVES,1
spruceleaf,LEAVES,1
sleaves,LEAVES,1
sleaf,LEAVES,1
sprucetreeleaves,LEAVES,1
sprucelogleaves,LEAVES,1
sprucetrunkleaves,LEAVES,1
sprucewoodleaves,LEAVES,1
streeleaves,LEAVES,1
slogleaves,LEAVES,1
strunkleaves,LEAVES,1
swoodleaves,LEAVES,1
darkleaves,LEAVES,1
darkleaf,LEAVES,1
dleaves,LEAVES,1
dleaf,LEAVES,1
darktreeleaves,LEAVES,1
darklogleaves,LEAVES,1
darktrunkleaves,LEAVES,1
darkwoodleaves,LEAVES,1
dtreeleaves,LEAVES,1
dlogleaves,LEAVES,1
dtrunkleaves,LEAVES,1
dwoodleaves,LEAVES,1
sprucetreeleaf,LEAVES,1
sprucelogleaf,LEAVES,1
sprucetrunkleaf,LEAVES,1
sprucewoodleaf,LEAVES,1
streeleaf,LEAVES,1
slogleaf,LEAVES,1
strunkleaf,LEAVES,1
swoodleaf,LEAVES,1
pinetreeleaf,LEAVES,1
pinelogleaf,LEAVES,1
pinetrunkleaf,LEAVES,1
pinewoodleaf,LEAVES,1
ptreeleaf,LEAVES,1
plogleaf,LEAVES,1
ptrunkleaf,LEAVES,1
pwoodleaf,LEAVES,1
darktreeleaf,LEAVES,1
darklogleaf,LEAVES,1
darktrunkleaf,LEAVES,1
darkwoodleaf,LEAVES,1
dtreeleaf,LEAVES,1
dlogleaf,LEAVES,1
dtrunkleaf,LEAVES,1
dwoodleaf,LEAVES,1
birchleaves,LEAVES,2
birchleaf,LEAVES,2
bleaves,LEAVES,2
bleaf,LEAVES,2
birchtreeleaves,LEAVES,2
birchlogleaves,LEAVES,2
birchtrunkleaves,LEAVES,2
birchwoodleaves,LEAVES,2
btreeleaves,LEAVES,2
blogleaves,LEAVES,2
btrunkleaves,LEAVES,2
bwoodleaves,LEAVES,2
lightleaves,LEAVES,2
lightleaf,LEAVES,2
lleaves,LEAVES,2
lleaf,LEAVES,2
lighttreeleaves,LEAVES,2
lightlogleaves,LEAVES,2
lighttrunkleaves,LEAVES,2
lightwoodleaves,LEAVES,2
ltreeleaves,LEAVES,2
llogleaves,LEAVES,2
ltrunkleaves,LEAVES,2
lwoodleaves,LEAVES,2
whiteleaves,LEAVES,2
whiteleaf,LEAVES,2
wleaves,LEAVES,2
wleaf,LEAVES,2
whitetreeleaves,LEAVES,2
whitelogleaves,LEAVES,2
whitetrunkleaves,LEAVES,2
whitewoodleaves,LEAVES,2
wtreeleaves,LEAVES,2
wlogleaves,LEAVES,2
wtrunkleaves,LEAVES,2
wwoodleaves,LEAVES,2
birchtreeleaf,LEAVES,2
birchlogleaf,LEAVES,2
birchtrunkleaf,LEAVES,2
birchwoodleaf,LEAVES,2
btreeleaf,LEAVES,2
blogleaf,LEAVES,2
btrunkleaf,LEAVES,2
bwoodleaf,LEAVES,2
lighttreeleaf,LEAVES,2
lightlogleaf,LEAVES,2
lighttrunkleaf,LEAVES,2
lightwoodleaf,LEAVES,2
ltreeleaf,LEAVES,2
llogleaf,LEAVES,2
ltrunkleaf,LEAVES,2
lwoodleaf,LEAVES,2
whitetreeleaf,LEAVES,2
whitelogleaf,LEAVES,2
whitetrunkleaf,LEAVES,2
whitewoodleaf,LEAVES,2
wtreeleaf,LEAVES,2
wlogleaf,LEAVES,2
wtrunkleaf,LEAVES,2
wwoodleaf,LEAVES,2
jungleleaves,LEAVES,3
jungleleaf,LEAVES,3
jleaves,LEAVES,3
jleaf,LEAVES,3
jungletreeleaves,LEAVES,3
junglelogleaves,LEAVES,3
jungletrunkleaves,LEAVES,3
junglewoodleaves,LEAVES,3
jtreeleaves,LEAVES,3
jlogleaves,LEAVES,3
jtrunkleaves,LEAVES,3
jwoodleaves,LEAVES,3
forestleaves,LEAVES,3
forestleaf,LEAVES,3
fleaves,LEAVES,3
fleaf,LEAVES,3
foresttreeleaves,LEAVES,3
forestlogleaves,LEAVES,3
foresttrunkleaves,LEAVES,3
forestwoodleaves,LEAVES,3
ftreeleaves,LEAVES,3
flogleaves,LEAVES,3
ftrunkleaves,LEAVES,3
fwoodleaves,LEAVES,3
jungletreeleaf,LEAVES,3
junglelogleaf,LEAVES,3
jungletrunkleaf,LEAVES,3
junglewoodleaf,LEAVES,3
jtreeleaf,LEAVES,3
jlogleaf,LEAVES,3
jtrunkleaf,LEAVES,3
jwoodleaf,LEAVES,3
foresttreeleaf,LEAVES,3
forestlogleaf,LEAVES,3
foresttrunkleaf,LEAVES,3
forestwoodleaf,LEAVES,3
ftreeleaf,LEAVES,3
flogleaf,LEAVES,3
ftrunkleaf,LEAVES,3
fwoodleaf,LEAVES,3
sponge,SPONGE,0
glass,GLASS,0
lapislazuliore,LAPIS_ORE,0
lapislazulio,LAPIS_ORE,0
orelapislazuli,LAPIS_ORE,0
olapislazuli,LAPIS_ORE,0
lapisore,LAPIS_ORE,0
lapiso,LAPIS_ORE,0
orelapis,LAPIS_ORE,0
olapis,LAPIS_ORE,0
lore,LAPIS_ORE,0
orel,LAPIS_ORE,0
lapislazuliblock,LAPIS_BLOCK,0
blocklapislazuli,LAPIS_BLOCK,0
lapisblock,LAPIS_BLOCK,0
blocklapis,LAPIS_BLOCK,0
lblock,LAPIS_BLOCK,0
blockl,LAPIS_BLOCK,0
dispenser,DISPENSER,0
dispense,DISPENSER,0
sandstone,SANDSTONE,0
sastone,SANDSTONE,0
creepersandstone,SANDSTONE,1
csandstone,SANDSTONE,1
csastone,SANDSTONE,1
creepsandstone,SANDSTONE,1
creepsastone,SANDSTONE,1
creepersastone,SANDSTONE,1
hieroglyphicsandstone,SANDSTONE,1
hieroglyphicsastone,SANDSTONE,1
hieroglyphsandstone,SANDSTONE,1
hieroglyphsastone,SANDSTONE,1
hsandstone,SANDSTONE,1
hsastone,SANDSTONE,1
pyramidsandstone,SANDSTONE,1
pyramidsastone,SANDSTONE,1
psandstone,SANDSTONE,1
psastone,SANDSTONE,1
smoothsandstone,SANDSTONE,2
smoothsastone,SANDSTONE,2
ssandstone,SANDSTONE,2
smsastone,SANDSTONE,2
ssastone,SANDSTONE,2
noteblock,NOTE_BLOCK,0
musicblock,NOTE_BLOCK,0
nblock,NOTE_BLOCK,0
mblock,NOTE_BLOCK,0
bedblock,BED_BLOCK,0
poweredtrack,POWERED_RAIL,0
poweredrails,POWERED_RAIL,0
poweredrail,POWERED_RAIL,0
boostertrack,POWERED_RAIL,0
boosterrails,POWERED_RAIL,0
boosterrail,POWERED_RAIL,0
powertrack,POWERED_RAIL,0
powerrails,POWERED_RAIL,0
powerrail,POWERED_RAIL,0
boosttrack,POWERED_RAIL,0
boostrails,POWERED_RAIL,0
boostrail,POWERED_RAIL,0
ptrack,POWERED_RAIL,0
prails,POWERED_RAIL,0
prail,POWERED_RAIL,0
btrack,POWERED_RAIL,0
brails,POWERED_RAIL,0
brail,POWERED_RAIL,0
detectortrack,DETECTOR_RAIL,0
detectorrails,DETECTOR_RAIL,0
detectorrail,DETECTOR_RAIL,0
detectingtrack,DETECTOR_RAIL,0
detectingrails,DETECTOR_RAIL,0
detectingrail,DETECTOR_RAIL,0
detecttrack,DETECTOR_RAIL,0
detectrails,DETECTOR_RAIL,0
detectrail,DETECTOR_RAIL,0
dtrack,DETECTOR_RAIL,0
drails,DETECTOR_RAIL,0
drail,DETECTOR_RAIL,0
stickypistonbase,PISTON_STICKY_BASE,0
stickypiston,PISTON_STICKY_BASE,0
stickpistonbase,PISTON_STICKY_BASE,0
stickpiston,PISTON_STICKY_BASE,0
stickyp,PISTON_STICKY_BASE,0
spistonbase,PISTON_STICKY_BASE,0
spiston,PISTON_STICKY_BASE,0
pistonstickybase,PISTON_STICKY_BASE,0
pistonsticky,PISTON_STICKY_BASE,0
pistonstickbase,PISTON_STICKY_BASE,0
pistonstick,PISTON_STICKY_BASE,0
pistonsbase,PISTON_STICKY_BASE,0
pistons,PISTON_STICKY_BASE,0
psticky,PISTON_STICKY_BASE,0
pstick,PISTON_STICKY_BASE,0
spiderweb,WEB,0
sweb,WEB,0
web,WEB,0
longgrass,LONG_GRASS,1
tallgrass,LONG_GRASS,1
wildgrass,LONG_GRASS,1
grasslong,LONG_GRASS,1
grasstall,LONG_GRASS,1
grasswild,LONG_GRASS,1
lgrass,LONG_GRASS,1
tgrass,LONG_GRASS,1
wgrass,LONG_GRASS,1
fern,LONG_GRASS,2
bush,LONG_GRASS,2
deadshrub,DEAD_BUSH,0
dshrub,DEAD_BUSH,0
deadbush,DEAD_BUSH,0
dbush,DEAD_BUSH,0
deadsapling,DEAD_BUSH,0
piston,PISTON_BASE,0
normalpistonbase,PISTON_BASE,0
normalpiston,PISTON_BASE,0
normpistonbase,PISTON_BASE,0
normpiston,PISTON_BASE,0
npistonbase,PISTON_BASE,0
npiston,PISTON_BASE,0
pistonnormalbase,PISTON_BASE,0
pistonnormal,PISTON_BASE,0
pistonnormbase,PISTON_BASE,0
pistonnorm,PISTON_BASE,0
pistonnbase,PISTON_BASE,0
pistonn,PISTON_BASE,0
pistonbase,PISTON_BASE,0
pistonblock,PISTON_BASE,0
pistonextension,PISTON_EXTENSION,0
pistonextensionnormal,PISTON_EXTENSION,0
pistonextnormal,PISTON_EXTENSION,0
pistonext,PISTON_EXTENSION,0
pistonenormal,PISTON_EXTENSION,0
pistone,PISTON_EXTENSION,0
extensionpistonnormal,PISTON_EXTENSION,0
extensionpiston,PISTON_EXTENSION,0
extpistonnormal,PISTON_EXTENSION,0
extpiston,PISTON_EXTENSION,0
epistonnormal,PISTON_EXTENSION,0
episton,PISTON_EXTENSION,0
whitewool,WOOL,0
whitecloth,WOOL,0
whitecotton,WOOL,0
wcloth,WOOL,0
wwool,WOOL,0
wcotton,WOOL,0
cloth,WOOL,0
wool,WOOL,0
cotton,WOOL,0
orangewool,WOOL,1
orangecloth,WOOL,1
orangecotton,WOOL,1
ocloth,WOOL,1
owool,WOOL,1
ocotton,WOOL,1
magentawool,WOOL,2
magentacloth,WOOL,2
magentacotton,WOOL,2
mcloth,WOOL,2
mwool,WOOL,2
mcotton,WOOL,2
lightbluewool,WOOL,3
lightbluecloth,WOOL,3
lightbluecotton,WOOL,3
lbluecloth,WOOL,3
lbluewool,WOOL,3
lbluecotton,WOOL,3
lightblucloth,WOOL,3
lightbluwool,WOOL,3
lightblucotton,WOOL,3
lblucloth,WOOL,3
lbluwool,WOOL,3
lblucotton,WOOL,3
yellowwool,WOOL,4
yellowcloth,WOOL,4
yellowcotton,WOOL,4
ycloth,WOOL,4
ywool,WOOL,4
ycotton,WOOL,4
lightgreenwool,WOOL,5
lightgreencloth,WOOL,5
lightgreencotton,WOOL,5
lgreencloth,WOOL,5
lgreenwool,WOOL,5
lgreencotton,WOOL,5
lightgrecloth,WOOL,5
lightgrewool,WOOL,5
lightgrecotton,WOOL,5
lgrecloth,WOOL,5
lgrewool,WOOL,5
lgrecotton,WOOL,5
limecloth,WOOL,5
limewool,WOOL,5
limecotton,WOOL,5
lcloth,WOOL,5
lwool,WOOL,5
lcotton,WOOL,5
pinkwool,WOOL,6
pinkcloth,WOOL,6
pinkcotton,WOOL,6
picloth,WOOL,6
piwool,WOOL,6
picotton,WOOL,6
darkgraywool,WOOL,7
darkgraycloth,WOOL,7
darkgraycotton,WOOL,7
dgraycloth,WOOL,7
dgraywool,WOOL,7
dgraycotton,WOOL,7
darkgracloth,WOOL,7
darkgrawool,WOOL,7
darkgracotton,WOOL,7
dgracloth,WOOL,7
dgrawool,WOOL,7
dgracotton,WOOL,7
graycloth,WOOL,7
graywool,WOOL,7
graycotton,WOOL,7
gracloth,WOOL,7
grawool,WOOL,7
gracotton,WOOL,7
lightgraywool,WOOL,8
lightgraycloth,WOOL,8
lightgraycotton,WOOL,8
lgraycloth,WOOL,8
lgraywool,WOOL,8
lgraycotton,WOOL,8
lightgracloth,WOOL,8
lightgrawool,WOOL,8
lightgracotton,WOOL,8
lgracloth,WOOL,8
lgrawool,WOOL,8
lgracotton,WOOL,8
silvercloth,WOOL,8
silverwool,WOOL,8
silvercotton,WOOL,8
sicloth,WOOL,8
siawool,WOOL,8
siacotton,WOOL,8
cyanwool,WOOL,9
cyancloth,WOOL,9
cyancotton,WOOL,9
ccloth,WOOL,9
cwool,WOOL,9
ccotton,WOOL,9
purplewool,WOOL,10
purplecloth,WOOL,10
purplecotton,WOOL,10
pucloth,WOOL,10
puwool,WOOL,10
pucotton,WOOL,10
bluewool,WOOL,11
bluecloth,WOOL,11
bluecotton,WOOL,11
blucloth,WOOL,11
bluwool,WOOL,11
blucotton,WOOL,11
brownwool,WOOL,12
browncloth,WOOL,12
browncotton,WOOL,12
brocloth,WOOL,12
browool,WOOL,12
brocotton,WOOL,12
darkgreenwool,WOOL,13
darkgreencloth,WOOL,13
darkgreencotton,WOOL,13
dgreencloth,WOOL,13
dgreenwool,WOOL,13
dgreencotton,WOOL,13
greencloth,WOOL,13
greenwool,WOOL,13
greencotton,WOOL,13
darkgrecloth,WOOL,13
darkgrewool,WOOL,13
darkgrecotton,WOOL,13
dgrecloth,WOOL,13
dgrewool,WOOL,13
dgrecotton,WOOL,13
grecloth,WOOL,13
grewool,WOOL,13
grecotton,WOOL,13
redwool,WOOL,14
redcloth,WOOL,14
redcotton,WOOL,14
rcloth,WOOL,14
rwool,WOOL,14
rcotton,WOOL,14
blackwool,WOOL,15
blackcloth,WOOL,15
blackcotton,WOOL,15
blacloth,WOOL,15
blawool,WOOL,15
blacotton,WOOL,15
pistonmovingpiece,PISTON_MOVING_PIECE,0
pistonmp,PISTON_MOVING_PIECE,0
pistontop,PISTON_MOVING_PIECE,0
dandelion,YELLOW_FLOWER,0
yellowdandelion,YELLOW_FLOWER,0
ydandelion,YELLOW_FLOWER,0
yellowflower,YELLOW_FLOWER,0
yflower,YELLOW_FLOWER,0
flower,YELLOW_FLOWER,0
rose,RED_ROSE,0
redrose,RED_ROSE,0
rrose,RED_ROSE,0
redflower,RED_ROSE,0
rflower,RED_ROSE,0
poppy,RED_ROSE,0
redpoppy,RED_ROSE,0
blueorchid,RED_ROSE,1
cyanorchid,RED_ROSE,1
lightblueorchid,RED_ROSE,1
lblueorchid,RED_ROSE,1
orchid,RED_ROSE,1
allium,RED_ROSE,2
magentaallium,RED_ROSE,2
azurebluet,RED_ROSE,3
whiteazurebluet,RED_ROSE,3
redtulip,RED_ROSE,4
rtulip,RED_ROSE,4
orangetulip,RED_ROSE,5
otulip,RED_ROSE,5
whitetulip,RED_ROSE,6
wtulip,RED_ROSE,6
pinktulip,RED_ROSE,7
ptulip,RED_ROSE,7
oxeye,RED_ROSE,8
lightgrayoxeye,RED_ROSE,8
lgrayoxeye,RED_ROSE,8
brownmushroom,BROWN_MUSHROOM,0
brownshroom,BROWN_MUSHROOM,0
brownmush,BROWN_MUSHROOM,0
bmushroom,BROWN_MUSHROOM,0
bshroom,BROWN_MUSHROOM,0
bmush,BROWN_MUSHROOM,0
redmushroom,RED_MUSHROOM,0
redshroom,RED_MUSHROOM,0
redmush,RED_MUSHROOM,0
rmushroom,RED_MUSHROOM,0
